K = 3, D = 0, C = 3
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  3
    nintr = 0


K = 3, Run (1,1,1): fitness => -7.14
K = 3, Run (1,1,2): fitness => -7.01
K = 3, Run (1,1,3): fitness => -6.87
K = 3, Run (1,1,4): fitness => -6.77
K = 3, Run (1,1,5): fitness => -6.68

K = 3, Run (1,2,1): fitness => -7.01
K = 3, Run (1,2,2): fitness => -6.90
K = 3, Run (1,2,3): fitness => -6.77
K = 3, Run (1,2,4): fitness => -6.68
K = 3, Run (1,2,5): fitness => -6.68

K = 3, Run (1,3,1): fitness => -6.84
K = 3, Run (1,3,2): fitness => -6.72
K = 3, Run (1,3,3): fitness => -6.68
K = 3, Run (1,3,4): fitness => -6.68
K = 3, Run (1,3,5): fitness => -6.68

K = 3, Run (1,4,1): fitness => -6.68
K = 3, Run (1,4,2): fitness => -6.68
K = 3, Run (1,4,3): fitness => -6.68
K = 3, Run (1,4,4): fitness => -6.68
K = 3, Run (1,4,5): fitness => -6.68

K = 3, Run (1,5,1): fitness => -6.68
K = 3, Run (1,5,2): fitness => -6.68
K = 3, Run (1,5,3): fitness => -6.68
K = 3, Run (1,5,4): fitness => -6.68
K = 3, Run (1,5,5): fitness => -6.68

K = 3, Run (1,6,1): fitness => -6.68
K = 3, Run (1,6,2): fitness => -6.68
K = 3, Run (1,6,3): fitness => -6.68
K = 3, Run (1,6,4): fitness => -6.68
K = 3, Run (1,6,5): fitness => -6.68

K = 3, Run (1,7,1): fitness => -6.68
K = 3, Run (1,7,2): fitness => -6.68
K = 3, Run (1,7,3): fitness => -6.68
K = 3, Run (1,7,4): fitness => -6.68
K = 3, Run (1,7,5): fitness => -6.68

K = 3, Run (1,8,1): fitness => -6.68
K = 3, Run (1,8,2): fitness => -6.68
K = 3, Run (1,8,3): fitness => -6.68
K = 3, Run (1,8,4): fitness => -6.68
K = 3, Run (1,8,5): fitness => -6.68

K = 3, Run (1,9,1): fitness => -6.68
K = 3, Run (1,9,2): fitness => -6.68
K = 3, Run (1,9,3): fitness => -6.68
K = 3, Run (1,9,4): fitness => -6.68
K = 3, Run (1,9,5): fitness => -6.68

K = 3, Run (1,10,1): fitness => -6.68
K = 3, Run (1,10,2): fitness => -6.68
K = 3, Run (1,10,3): fitness => -6.68
K = 3, Run (1,10,4): fitness => -6.68
K = 3, Run (1,10,5): fitness => -6.68

K = 3, Run (2,1,1): fitness => -7.13
K = 3, Run (2,1,2): fitness => -7.02
K = 3, Run (2,1,3): fitness => -6.95
K = 3, Run (2,1,4): fitness => -6.92
K = 3, Run (2,1,5): fitness => -6.90

K = 3, Run (2,2,1): fitness => -6.98
K = 3, Run (2,2,2): fitness => -6.95
K = 3, Run (2,2,3): fitness => -6.92
K = 3, Run (2,2,4): fitness => -6.90
K = 3, Run (2,2,5): fitness => -6.90

K = 3, Run (2,3,1): fitness => -6.94
K = 3, Run (2,3,2): fitness => -6.91
K = 3, Run (2,3,3): fitness => -6.90
K = 3, Run (2,3,4): fitness => -6.90
K = 3, Run (2,3,5): fitness => -6.90

K = 3, Run (2,4,1): fitness => -6.90
K = 3, Run (2,4,2): fitness => -6.90
K = 3, Run (2,4,3): fitness => -6.90
K = 3, Run (2,4,4): fitness => -6.90
K = 3, Run (2,4,5): fitness => -6.90

K = 3, Run (2,5,1): fitness => -6.90
K = 3, Run (2,5,2): fitness => -6.90
K = 3, Run (2,5,3): fitness => -6.90
K = 3, Run (2,5,4): fitness => -6.90
K = 3, Run (2,5,5): fitness => -6.90

K = 3, Run (2,6,1): fitness => -6.90
K = 3, Run (2,6,2): fitness => -6.90
K = 3, Run (2,6,3): fitness => -6.90
K = 3, Run (2,6,4): fitness => -6.90
K = 3, Run (2,6,5): fitness => -6.90

K = 3, Run (2,7,1): fitness => -6.90
K = 3, Run (2,7,2): fitness => -6.90
K = 3, Run (2,7,3): fitness => -6.90
K = 3, Run (2,7,4): fitness => -6.90
K = 3, Run (2,7,5): fitness => -6.90

K = 3, Run (2,8,1): fitness => -6.90
K = 3, Run (2,8,2): fitness => -6.90
K = 3, Run (2,8,3): fitness => -6.90
K = 3, Run (2,8,4): fitness => -6.90
K = 3, Run (2,8,5): fitness => -6.90

K = 3, Run (2,9,1): fitness => -6.90
K = 3, Run (2,9,2): fitness => -6.90
K = 3, Run (2,9,3): fitness => -6.90
K = 3, Run (2,9,4): fitness => -6.90
K = 3, Run (2,9,5): fitness => -6.90

K = 3, Run (2,10,1): fitness => -6.90
K = 3, Run (2,10,2): fitness => -6.90
K = 3, Run (2,10,3): fitness => -6.90
K = 3, Run (2,10,4): fitness => -6.90
K = 3, Run (2,10,5): fitness => -6.90

#-6.68

real	0m0.970s
user	0m0.611s
sys	0m0.123s
K = 3, D = 0, C = 3
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  3
    nintr = 0


K = 3, Run (1,1,1): fitness => -9.66
K = 3, Run (1,1,2): fitness => -9.28
K = 3, Run (1,1,3): fitness => -8.95
K = 3, Run (1,1,4): fitness => -8.73
K = 3, Run (1,1,5): fitness => -8.54

K = 3, Run (1,2,1): fitness => -9.24
K = 3, Run (1,2,2): fitness => -9.00
K = 3, Run (1,2,3): fitness => -8.73
K = 3, Run (1,2,4): fitness => -8.54
K = 3, Run (1,2,5): fitness => -8.54

K = 3, Run (1,3,1): fitness => -8.87
K = 3, Run (1,3,2): fitness => -8.63
K = 3, Run (1,3,3): fitness => -8.54
K = 3, Run (1,3,4): fitness => -8.54
K = 3, Run (1,3,5): fitness => -8.54

K = 3, Run (1,4,1): fitness => -8.54
K = 3, Run (1,4,2): fitness => -8.54
K = 3, Run (1,4,3): fitness => -8.54
K = 3, Run (1,4,4): fitness => -8.54
K = 3, Run (1,4,5): fitness => -8.54

K = 3, Run (1,5,1): fitness => -8.54
K = 3, Run (1,5,2): fitness => -8.54
K = 3, Run (1,5,3): fitness => -8.54
K = 3, Run (1,5,4): fitness => -8.54
K = 3, Run (1,5,5): fitness => -8.54

K = 3, Run (1,6,1): fitness => -8.54
K = 3, Run (1,6,2): fitness => -8.54
K = 3, Run (1,6,3): fitness => -8.54
K = 3, Run (1,6,4): fitness => -8.54
K = 3, Run (1,6,5): fitness => -8.54

K = 3, Run (1,7,1): fitness => -8.54
K = 3, Run (1,7,2): fitness => -8.54
K = 3, Run (1,7,3): fitness => -8.54
K = 3, Run (1,7,4): fitness => -8.54
K = 3, Run (1,7,5): fitness => -8.54

K = 3, Run (1,8,1): fitness => -8.54
K = 3, Run (1,8,2): fitness => -8.54
K = 3, Run (1,8,3): fitness => -8.54
K = 3, Run (1,8,4): fitness => -8.54
K = 3, Run (1,8,5): fitness => -8.54

K = 3, Run (1,9,1): fitness => -8.54
K = 3, Run (1,9,2): fitness => -8.54
K = 3, Run (1,9,3): fitness => -8.54
K = 3, Run (1,9,4): fitness => -8.54
K = 3, Run (1,9,5): fitness => -8.54

K = 3, Run (1,10,1): fitness => -8.54
K = 3, Run (1,10,2): fitness => -8.54
K = 3, Run (1,10,3): fitness => -8.54
K = 3, Run (1,10,4): fitness => -8.54
K = 3, Run (1,10,5): fitness => -8.54

K = 3, Run (2,1,1): fitness => -9.62
K = 3, Run (2,1,2): fitness => -9.27
K = 3, Run (2,1,3): fitness => -8.99
K = 3, Run (2,1,4): fitness => -8.83
K = 3, Run (2,1,5): fitness => -8.77

K = 3, Run (2,2,1): fitness => -9.15
K = 3, Run (2,2,2): fitness => -8.95
K = 3, Run (2,2,3): fitness => -8.83
K = 3, Run (2,2,4): fitness => -8.77
K = 3, Run (2,2,5): fitness => -8.77

K = 3, Run (2,3,1): fitness => -8.86
K = 3, Run (2,3,2): fitness => -8.80
K = 3, Run (2,3,3): fitness => -8.77
K = 3, Run (2,3,4): fitness => -8.77
K = 3, Run (2,3,5): fitness => -8.77

K = 3, Run (2,4,1): fitness => -8.77
K = 3, Run (2,4,2): fitness => -8.77
K = 3, Run (2,4,3): fitness => -8.77
K = 3, Run (2,4,4): fitness => -8.77
K = 3, Run (2,4,5): fitness => -8.77

K = 3, Run (2,5,1): fitness => -8.77
K = 3, Run (2,5,2): fitness => -8.77
K = 3, Run (2,5,3): fitness => -8.77
K = 3, Run (2,5,4): fitness => -8.77
K = 3, Run (2,5,5): fitness => -8.77

K = 3, Run (2,6,1): fitness => -8.77
K = 3, Run (2,6,2): fitness => -8.77
K = 3, Run (2,6,3): fitness => -8.77
K = 3, Run (2,6,4): fitness => -8.77
K = 3, Run (2,6,5): fitness => -8.77

K = 3, Run (2,7,1): fitness => -8.77
K = 3, Run (2,7,2): fitness => -8.77
K = 3, Run (2,7,3): fitness => -8.77
K = 3, Run (2,7,4): fitness => -8.77
K = 3, Run (2,7,5): fitness => -8.77

K = 3, Run (2,8,1): fitness => -8.77
K = 3, Run (2,8,2): fitness => -8.77
K = 3, Run (2,8,3): fitness => -8.77
K = 3, Run (2,8,4): fitness => -8.77
K = 3, Run (2,8,5): fitness => -8.77

K = 3, Run (2,9,1): fitness => -8.77
K = 3, Run (2,9,2): fitness => -8.77
K = 3, Run (2,9,3): fitness => -8.77
K = 3, Run (2,9,4): fitness => -8.77
K = 3, Run (2,9,5): fitness => -8.77

K = 3, Run (2,10,1): fitness => -8.77
K = 3, Run (2,10,2): fitness => -8.77
K = 3, Run (2,10,3): fitness => -8.77
K = 3, Run (2,10,4): fitness => -8.77
K = 3, Run (2,10,5): fitness => -8.77

#-8.54

real	0m0.817s
user	0m0.614s
sys	0m0.078s
K = 3, D = 0, C = 3
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  3
    nintr = 0


K = 3, Run (1,1,1): fitness => -7.46
K = 3, Run (1,1,2): fitness => -7.26
K = 3, Run (1,1,3): fitness => -7.07
K = 3, Run (1,1,4): fitness => -7.06
K = 3, Run (1,1,5): fitness => -7.06

K = 3, Run (1,2,1): fitness => -7.09
K = 3, Run (1,2,2): fitness => -7.07
K = 3, Run (1,2,3): fitness => -7.06
K = 3, Run (1,2,4): fitness => -7.06
K = 3, Run (1,2,5): fitness => -7.06

