K = 8, D = 1, C = 7
config1 =

  scalar structure containing the fields:

    ndisc =  1
    ncont =  7
    nintr = 0


K = 8, Run (1,1,1): fitness => -11.27
K = 8, Run (1,1,2): fitness => -11.22
K = 8, Run (1,1,3): fitness => -11.20
K = 8, Run (1,1,4): fitness => -11.20
K = 8, Run (1,1,5): fitness => -11.20

K = 8, Run (1,2,1): fitness => -11.20
K = 8, Run (1,2,2): fitness => -11.20
K = 8, Run (1,2,3): fitness => -11.20
K = 8, Run (1,2,4): fitness => -11.20
K = 8, Run (1,2,5): fitness => -11.20

K = 8, Run (1,3,1): fitness => -11.20
K = 8, Run (1,3,2): fitness => -11.20
K = 8, Run (1,3,3): fitness => -11.20
K = 8, Run (1,3,4): fitness => -11.20
K = 8, Run (1,3,5): fitness => -11.20

K = 8, Run (1,4,1): fitness => -11.20
K = 8, Run (1,4,2): fitness => -11.20
K = 8, Run (1,4,3): fitness => -11.20
K = 8, Run (1,4,4): fitness => -11.20
K = 8, Run (1,4,5): fitness => -11.20

K = 8, Run (1,5,1): fitness => -11.20
K = 8, Run (1,5,2): fitness => -11.20
K = 8, Run (1,5,3): fitness => -11.20
K = 8, Run (1,5,4): fitness => -11.20
K = 8, Run (1,5,5): fitness => -11.20

K = 8, Run (1,6,1): fitness => -11.20
K = 8, Run (1,6,2): fitness => -11.20
K = 8, Run (1,6,3): fitness => -11.20
K = 8, Run (1,6,4): fitness => -11.20
K = 8, Run (1,6,5): fitness => -11.20

K = 8, Run (1,7,1): fitness => -11.20
K = 8, Run (1,7,2): fitness => -11.20
K = 8, Run (1,7,3): fitness => -11.20
K = 8, Run (1,7,4): fitness => -11.20
K = 8, Run (1,7,5): fitness => -11.20

K = 8, Run (1,8,1): fitness => -11.20
K = 8, Run (1,8,2): fitness => -11.20
K = 8, Run (1,8,3): fitness => -11.20
K = 8, Run (1,8,4): fitness => -11.20
K = 8, Run (1,8,5): fitness => -11.20

K = 8, Run (1,9,1): fitness => -11.20
K = 8, Run (1,9,2): fitness => -11.20
K = 8, Run (1,9,3): fitness => -11.20
K = 8, Run (1,9,4): fitness => -11.20
K = 8, Run (1,9,5): fitness => -11.20

K = 8, Run (1,10,1): fitness => -11.20
K = 8, Run (1,10,2): fitness => -11.20
K = 8, Run (1,10,3): fitness => -11.20
K = 8, Run (1,10,4): fitness => -11.20
K = 8, Run (1,10,5): fitness => -11.20

K = 8, Run (2,1,1): fitness => -11.10
K = 8, Run (2,1,2): fitness => -11.04
K = 8, Run (2,1,3): fitness => -10.98
K = 8, Run (2,1,4): fitness => -10.95
K = 8, Run (2,1,5): fitness => -10.94

K = 8, Run (2,2,1): fitness => -11.01
K = 8, Run (2,2,2): fitness => -10.97
K = 8, Run (2,2,3): fitness => -10.95
K = 8, Run (2,2,4): fitness => -10.94
K = 8, Run (2,2,5): fitness => -10.94

K = 8, Run (2,3,1): fitness => -10.95
K = 8, Run (2,3,2): fitness => -10.94
K = 8, Run (2,3,3): fitness => -10.94
K = 8, Run (2,3,4): fitness => -10.94
K = 8, Run (2,3,5): fitness => -10.94

K = 8, Run (2,4,1): fitness => -10.94
K = 8, Run (2,4,2): fitness => -10.94
K = 8, Run (2,4,3): fitness => -10.94
K = 8, Run (2,4,4): fitness => -10.94
K = 8, Run (2,4,5): fitness => -10.94

K = 8, Run (2,5,1): fitness => -10.94
K = 8, Run (2,5,2): fitness => -10.94
K = 8, Run (2,5,3): fitness => -10.94
K = 8, Run (2,5,4): fitness => -10.94
K = 8, Run (2,5,5): fitness => -10.94

K = 8, Run (2,6,1): fitness => -10.94
K = 8, Run (2,6,2): fitness => -10.94
K = 8, Run (2,6,3): fitness => -10.94
K = 8, Run (2,6,4): fitness => -10.94
K = 8, Run (2,6,5): fitness => -10.94

K = 8, Run (2,7,1): fitness => -10.94
K = 8, Run (2,7,2): fitness => -10.94
K = 8, Run (2,7,3): fitness => -10.94
K = 8, Run (2,7,4): fitness => -10.94
K = 8, Run (2,7,5): fitness => -10.94

K = 8, Run (2,8,1): fitness => -10.94
K = 8, Run (2,8,2): fitness => -10.94
K = 8, Run (2,8,3): fitness => -10.94
K = 8, Run (2,8,4): fitness => -10.94
K = 8, Run (2,8,5): fitness => -10.94

K = 8, Run (2,9,1): fitness => -10.94
K = 8, Run (2,9,2): fitness => -10.94
K = 8, Run (2,9,3): fitness => -10.94
K = 8, Run (2,9,4): fitness => -10.94
K = 8, Run (2,9,5): fitness => -10.94

K = 8, Run (2,10,1): fitness => -10.94
K = 8, Run (2,10,2): fitness => -10.94
K = 8, Run (2,10,3): fitness => -10.94
K = 8, Run (2,10,4): fitness => -10.94
K = 8, Run (2,10,5): fitness => -10.94

#-10.94

real	0m2.988s
user	0m2.156s
sys	0m0.146s
K = 8, D = 1, C = 7
config1 =

  scalar structure containing the fields:

    ndisc =  1
    ncont =  7
    nintr = 0


K = 8, Run (1,1,1): fitness => -10.08
K = 8, Run (1,1,2): fitness => -10.01
K = 8, Run (1,1,3): fitness => -9.97
K = 8, Run (1,1,4): fitness => -9.95
K = 8, Run (1,1,5): fitness => -9.95

K = 8, Run (1,2,1): fitness => -9.98
K = 8, Run (1,2,2): fitness => -9.96
K = 8, Run (1,2,3): fitness => -9.95
K = 8, Run (1,2,4): fitness => -9.95
K = 8, Run (1,2,5): fitness => -9.95

K = 8, Run (1,3,1): fitness => -9.96
K = 8, Run (1,3,2): fitness => -9.95
K = 8, Run (1,3,3): fitness => -9.95
K = 8, Run (1,3,4): fitness => -9.95
K = 8, Run (1,3,5): fitness => -9.95

K = 8, Run (1,4,1): fitness => -9.95
K = 8, Run (1,4,2): fitness => -9.95
K = 8, Run (1,4,3): fitness => -9.95
K = 8, Run (1,4,4): fitness => -9.95
K = 8, Run (1,4,5): fitness => -9.95

K = 8, Run (1,5,1): fitness => -9.95
K = 8, Run (1,5,2): fitness => -9.95
K = 8, Run (1,5,3): fitness => -9.95
K = 8, Run (1,5,4): fitness => -9.95
K = 8, Run (1,5,5): fitness => -9.95

K = 8, Run (1,6,1): fitness => -9.95
K = 8, Run (1,6,2): fitness => -9.95
K = 8, Run (1,6,3): fitness => -9.95
K = 8, Run (1,6,4): fitness => -9.95
K = 8, Run (1,6,5): fitness => -9.95

K = 8, Run (1,7,1): fitness => -9.95
K = 8, Run (1,7,2): fitness => -9.95
K = 8, Run (1,7,3): fitness => -9.95
K = 8, Run (1,7,4): fitness => -9.95
K = 8, Run (1,7,5): fitness => -9.95

K = 8, Run (1,8,1): fitness => -9.95
K = 8, Run (1,8,2): fitness => -9.95
K = 8, Run (1,8,3): fitness => -9.95
K = 8, Run (1,8,4): fitness => -9.95
K = 8, Run (1,8,5): fitness => -9.95

K = 8, Run (1,9,1): fitness => -9.95
K = 8, Run (1,9,2): fitness => -9.95
K = 8, Run (1,9,3): fitness => -9.95
K = 8, Run (1,9,4): fitness => -9.95
K = 8, Run (1,9,5): fitness => -9.95

K = 8, Run (1,10,1): fitness => -9.95
K = 8, Run (1,10,2): fitness => -9.95
K = 8, Run (1,10,3): fitness => -9.95
K = 8, Run (1,10,4): fitness => -9.95
K = 8, Run (1,10,5): fitness => -9.95

K = 8, Run (2,1,1): fitness => -10.06
