K = 2, D = 0, C = 2
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  2
    nintr = 0


K = 2, Run (1,1,1): fitness => -8.19
K = 2, Run (1,1,2): fitness => -8.01
K = 2, Run (1,1,3): fitness => -7.82
K = 2, Run (1,1,4): fitness => -7.69
K = 2, Run (1,1,5): fitness => -7.58

K = 2, Run (1,2,1): fitness => -8.00
K = 2, Run (1,2,2): fitness => -7.85
K = 2, Run (1,2,3): fitness => -7.69
K = 2, Run (1,2,4): fitness => -7.58
K = 2, Run (1,2,5): fitness => -7.58

K = 2, Run (1,3,1): fitness => -7.77
K = 2, Run (1,3,2): fitness => -7.63
K = 2, Run (1,3,3): fitness => -7.58
K = 2, Run (1,3,4): fitness => -7.58
K = 2, Run (1,3,5): fitness => -7.58

K = 2, Run (1,4,1): fitness => -7.58
K = 2, Run (1,4,2): fitness => -7.58
K = 2, Run (1,4,3): fitness => -7.58
K = 2, Run (1,4,4): fitness => -7.58
K = 2, Run (1,4,5): fitness => -7.58

K = 2, Run (1,5,1): fitness => -7.58
K = 2, Run (1,5,2): fitness => -7.58
K = 2, Run (1,5,3): fitness => -7.58
K = 2, Run (1,5,4): fitness => -7.58
K = 2, Run (1,5,5): fitness => -7.58

K = 2, Run (1,6,1): fitness => -7.58
K = 2, Run (1,6,2): fitness => -7.58
K = 2, Run (1,6,3): fitness => -7.58
K = 2, Run (1,6,4): fitness => -7.58
K = 2, Run (1,6,5): fitness => -7.58

K = 2, Run (1,7,1): fitness => -7.58
K = 2, Run (1,7,2): fitness => -7.58
K = 2, Run (1,7,3): fitness => -7.58
K = 2, Run (1,7,4): fitness => -7.58
K = 2, Run (1,7,5): fitness => -7.58

K = 2, Run (1,8,1): fitness => -7.58
K = 2, Run (1,8,2): fitness => -7.58
K = 2, Run (1,8,3): fitness => -7.58
K = 2, Run (1,8,4): fitness => -7.58
K = 2, Run (1,8,5): fitness => -7.58

K = 2, Run (1,9,1): fitness => -7.58
K = 2, Run (1,9,2): fitness => -7.58
K = 2, Run (1,9,3): fitness => -7.58
K = 2, Run (1,9,4): fitness => -7.58
K = 2, Run (1,9,5): fitness => -7.58

K = 2, Run (1,10,1): fitness => -7.58
K = 2, Run (1,10,2): fitness => -7.58
K = 2, Run (1,10,3): fitness => -7.58
K = 2, Run (1,10,4): fitness => -7.58
K = 2, Run (1,10,5): fitness => -7.58

K = 2, Run (2,1,1): fitness => -8.62
K = 2, Run (2,1,2): fitness => -8.37
K = 2, Run (2,1,3): fitness => -8.11
K = 2, Run (2,1,4): fitness => -8.00
K = 2, Run (2,1,5): fitness => -7.89

K = 2, Run (2,2,1): fitness => -8.27
K = 2, Run (2,2,2): fitness => -8.14
K = 2, Run (2,2,3): fitness => -8.00
K = 2, Run (2,2,4): fitness => -7.89
K = 2, Run (2,2,5): fitness => -7.89

K = 2, Run (2,3,1): fitness => -8.08
K = 2, Run (2,3,2): fitness => -7.94
K = 2, Run (2,3,3): fitness => -7.89
K = 2, Run (2,3,4): fitness => -7.89
K = 2, Run (2,3,5): fitness => -7.89

K = 2, Run (2,4,1): fitness => -7.89
K = 2, Run (2,4,2): fitness => -7.89
K = 2, Run (2,4,3): fitness => -7.89
K = 2, Run (2,4,4): fitness => -7.89
K = 2, Run (2,4,5): fitness => -7.89

K = 2, Run (2,5,1): fitness => -7.89
K = 2, Run (2,5,2): fitness => -7.89
K = 2, Run (2,5,3): fitness => -7.89
K = 2, Run (2,5,4): fitness => -7.89
K = 2, Run (2,5,5): fitness => -7.89

K = 2, Run (2,6,1): fitness => -7.89
K = 2, Run (2,6,2): fitness => -7.89
K = 2, Run (2,6,3): fitness => -7.89
K = 2, Run (2,6,4): fitness => -7.89
K = 2, Run (2,6,5): fitness => -7.89

K = 2, Run (2,7,1): fitness => -7.89
K = 2, Run (2,7,2): fitness => -7.89
K = 2, Run (2,7,3): fitness => -7.89
K = 2, Run (2,7,4): fitness => -7.89
